,title,ingredients,directions,link,source,NER
6,Rhubarb Coffee Cake,"[""1 1/2 c. sugar"", ""1/2 c. butter"", ""1 egg"", ""1 c. buttermilk"", ""2 c. flour"", ""1/2 tsp. salt"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 c. rhubarb, finely cut"", ""1 tsp. vanilla""]","[""Cream sugar and butter."", ""Add egg and beat well."", ""To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda."", ""Mix well."", ""Add rhubarb and vanilla."", ""Pour into greased 9 x 13-inch pan and add Topping.""]",www.cookbooks.com/Recipe-Details.aspx?id=210288,Gathered,"[""sugar"", ""butter"", ""egg"", ""buttermilk"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""rhubarb"", ""vanilla""]"
904,Buttermilk Brownie Cake,"[""1 c. butter"", ""1/3 c. cocoa"", ""2 c. flour"", ""2 c. sugar"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""2 slightly beaten eggs"", ""1/2 c. buttermilk"", ""1 1/2 tsp. vanilla""]","[""In a saucepan combine butter, cocoa and 1 cup water."", ""Bring to a boil and stir constantly."", ""Remove from heat."", ""In a large bowl sift together flour, sugar, soda and salt."", ""Stir in eggs, buttermilk and vanilla."", ""Add cocoa mixture; mix until blended. Pour into a greased 15 x 10 x 1-inch pan."", ""Bake at 375\u00b0 for 20 minutes."", ""Immediately pour frosting over brownies; spread evenly.""]",www.cookbooks.com/Recipe-Details.aspx?id=913506,Gathered,"[""butter"", ""cocoa"", ""flour"", ""sugar"", ""soda"", ""salt"", ""eggs"", ""buttermilk"", ""vanilla""]"
1988,Buttermilk Pound Cake,"[""3 c. flour"", ""1/2 tsp. soda"", ""1/2 tsp. baking powder"", ""3/4 tsp. salt"", ""1 c. butter (2 sticks)"", ""2 c. sugar"", ""4 eggs"", ""2 tsp. vanilla"", ""1 c. buttermilk""]","[""Sift together flour, soda, baking powder and salt."", ""Sift again. Cream butter with sugar until light and fluffy. Add eggs, one at a time, beating well after each addition."", ""Blend in vanilla. Add flour mixture and buttermilk alternately and beat until smooth after each addition."", ""Pour into greased and floured wax papered loaf pan. Bake in moderate oven at 350\u00b0 for about 1 hour and 10 minutes or until cake tester comes out clean."", ""Remove from pan and cool. Dust with powdered sugar.""]",www.cookbooks.com/Recipe-Details.aspx?id=1032176,Gathered,"[""flour"", ""soda"", ""baking powder"", ""salt"", ""butter"", ""sugar"", ""eggs"", ""vanilla"", ""buttermilk""]"
3650,Dump Pound Cake,"[""1 c. Crisco"", ""1 stick margarine"", ""5 large eggs"", ""2 1/2 c. sugar"", ""1 tsp. vanilla"", ""1 tsp. lemon flavoring"", ""1 tsp. butter flavoring"", ""1 c. buttermilk"", ""3 1/2 c. plain flour"", ""1/2 tsp. salt"", ""1/2 tsp. soda""]","[""Dump all ingredients in mixer; beat 10 minutes."", ""Bake 1 hour and 15 minutes at 325\u00b0."", ""Serves 25.""]",www.cookbooks.com/Recipe-Details.aspx?id=765617,Gathered,"[""Crisco"", ""margarine"", ""eggs"", ""sugar"", ""vanilla"", ""lemon flavoring"", ""butter"", ""buttermilk"", ""flour"", ""salt"", ""soda""]"
5941,"""Old Fashion"" Stack Cake","[""1/2 c. shortening"", ""1/3 c. sorghum molasses"", ""1 beaten egg"", ""2 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. sugar"", ""3 1/2 c. flour"", ""1/2 tsp. soda"", ""1 tsp. ginger"", ""1/2 c. buttermilk"", ""1 tsp. vanilla""]","[""Cream shortening with molasses."", ""Add beaten egg."", ""Mix all dry ingredients and add to creamy mixture."", ""Add milk and vanilla. Beat to a stiff dough."", ""Roll out to thickness of pie dough."", ""Cut out with a scalloped pie pan."", ""Place rounds of dough on a cookie sheet."", ""Bake at 375\u00b0 for 12 to 15 minutes."", ""Put together with sweetened applesauce.""]",www.cookbooks.com/Recipe-Details.aspx?id=278486,Gathered,"[""shortening"", ""sorghum molasses"", ""egg"", ""baking powder"", ""salt"", ""sugar"", ""flour"", ""soda"", ""ginger"", ""buttermilk"", ""vanilla""]"
6147,Rhubarb Buttermilk Cake,"[""2 1/2 c. all-purpose flour"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 c. buttermilk"", ""1 1/2 c. brown sugar"", ""1 egg, slightly beaten"", ""2/3 c. corn oil"", ""1 tsp. vanilla"", ""2 c. chopped fresh or frozen rhubarb"", ""1/2 c. chopped nuts"", ""1/2 c. granulated sugar"", ""1/2 tsp. cinnamon"", ""1 Tbsp. butter""]","[""Sift together first 3 ingredients in large bowl."", ""Stir together in medium bowl the buttermilk, brown sugar, egg, oil and vanilla and then add to dry ingredients, stirring until just combined. Fold in rhubarb and nuts."", ""Pour batter into 13 x 9 x 2-inch baking pan."", ""Sprinkle with mixture of 1/2 cup granulated sugar, cinnamon and butter which you combined by stirring with a fork."", ""Bake at 350\u00b0 for 40 minutes or until toothpick inserted in center comes out clean."", ""Serve warm or cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=215471,Gathered,"[""flour"", ""baking soda"", ""salt"", ""buttermilk"", ""brown sugar"", ""egg"", ""corn oil"", ""vanilla"", ""frozen rhubarb"", ""nuts"", ""sugar"", ""cinnamon"", ""butter""]"
7605,Ring Of Coconut Fudge Cake,"[""2 c. sugar"", ""1 c. cooking oil"", ""2 eggs"", ""3 c. enriched all-purpose flour *"", ""3/4 c. unsweetened cocoa"", ""2 tsp. soda"", ""2 tsp. baking powder"", ""1 1/2 tsp. salt"", ""1 c. hot coffee or water"", ""1 c. buttermilk or sour milk"", ""1 tsp. vanilla"", ""1/2 c. chopped nuts"", ""1 c. powdered sugar"", ""3 Tbsp. cocoa"", ""2 Tbsp. butter"", ""2 tsp. vanilla"", ""1 to 3 Tbsp. hot water""]","[""Preheat oven to 350\u00b0."", ""Generously grease and lightly flour a 10-inch tube or Bundt pan."", ""Prepare filling; set aside."", ""In large mixer bowl, combine sugar, oil and eggs."", ""Beat 1 minute at high speed."", ""Add remaining ingredients except filling; beat 3 minutes at medium speed, scraping bowl occasionally."", ""By hand, stir in nuts."", ""Pour half of batter into prepared pan."", ""Carefully spoon prepared filling over batter; top with remaining batter."", ""Bake at 350\u00b0 for 70 to 75 minutes until top springs back when touched lightly in center."", ""Cool upright in pan 15 minutes; remove from pan."", ""Cool completely; drizzle with glaze made by combining:""]",www.cookbooks.com/Recipe-Details.aspx?id=187859,Gathered,"[""sugar"", ""cooking oil"", ""eggs"", ""flour"", ""unsweetened cocoa"", ""soda"", ""baking powder"", ""salt"", ""hot coffee"", ""buttermilk"", ""vanilla"", ""nuts"", ""powdered sugar"", ""cocoa"", ""butter"", ""vanilla"", ""water""]"
7889,Mama'S Chocolate Cake,"[""1 stick butter"", ""2 c. flour"", ""4 Tbsp. cocoa"", ""dash of salt"", ""1 1/2 tsp. soda"", ""1 c. coffee"", ""2 c. sugar"", ""2/3 c. buttermilk"", ""2 eggs"", ""1 tsp. real vanilla""]","[""Bring cocoa, coffee and butter to a boil; sift the flour, sugar and salt together."", ""Add these dry ingredients to the coffee/cocoa mixture.""]",www.cookbooks.com/Recipe-Details.aspx?id=217452,Gathered,"[""butter"", ""flour"", ""cocoa"", ""salt"", ""soda"", ""coffee"", ""sugar"", ""buttermilk"", ""eggs"", ""vanilla""]"
8715,Fudge Sheet Cake,"[""2 c. sugar"", ""2 c. flour"", ""1 c. water"", ""1/4 tsp. salt"", ""3 1/2 Tbsp. cocoa"", ""2 sticks butter"", ""1/2 c. buttermilk"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""2 eggs"", ""1 tsp. cinnamon""]","[""Set aside flour and sugar."", ""Heat water, salt, cocoa and butter. Add the sugar and flour."", ""Add remaining ingredients."", ""Bake 15 to 20 minutes at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=832902,Gathered,"[""sugar"", ""flour"", ""water"", ""salt"", ""cocoa"", ""butter"", ""buttermilk"", ""vanilla"", ""soda"", ""eggs"", ""cinnamon""]"
9746,Rhubarb Cake,"[""1/2 c. butter"", ""1 1/2 c. brown sugar, packed"", ""1 egg"", ""1 tsp. vanilla"", ""1 c. buttermilk"", ""1 tsp. soda"", ""2 c. flour"", ""1 1/2 c. rhubarb, coarsely chopped""]","[""Beat butter, sugar, egg and vanilla until creamy."", ""Stir soda into buttermilk; add to sugar mixture alternating with flour. Stir in rhubarb."", ""Spread in greased and floured 9 x 13-inch pan. In small bowl, combine 1/2 cup sugar, 1 teaspoon cinnamon and 1 tablespoon melted butter."", ""Sprinkle over batter."", ""Bake at 350\u00b0 for 40 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=1043810,Gathered,"[""butter"", ""brown sugar"", ""egg"", ""vanilla"", ""buttermilk"", ""soda"", ""flour"", ""rhubarb""]"
