Nutmeg Feather Cake,"[""1/4 c. butter"", ""1/4 c. shortening"", ""1 1/2 c. sugar"", ""3 beaten eggs"", ""2 tsp. nutmeg"", ""1/2 tsp. vanilla"", ""2 c. flour"", ""1/4 tsp. salt"", ""1 tsp. baking powder"", ""1 tsp. soda"", ""1 c. buttermilk""]","[""Cream shortening and sugar; add eggs and beat well."", ""Add sifted dry ingredients alternately with buttermilk and vanilla. Bake in 2 greased and floured square layer cake pans in a 350\u00b0 oven for 25 minutes.""]","butter = Ingredient('btr1', 'butter', 57, over='too greasy', under='too dry')
shortening = Ingredient('sht1', 'shortening', 57, over='too greasy', under='too tough')
sugar = Ingredient('sgr1', 'sugar', 300, over='too sweet', under='too bland')
eggs = Ingredient('egg1', 'eggs', 150, over='too rubbery', under='too dry')
nutmeg = Ingredient('ntm1', 'nutmeg', 5, over='too strong', under='too bland')
vanilla = Ingredient('vnl1', 'vanilla', 3, over='too strong', under='too bland')
flour = Ingredient('flr1', 'flour', 240, over='too dense', under='too wet')
salt = Ingredient('slt1', 'salt', 2, over='too salty', under='too bland')
bakingpowder = Ingredient('bkp1', 'baking powder', 4, over='too bitter', under='too dense')
soda = Ingredient('bsd1', 'baking soda', 5, over='too soapy', under='too flat')
buttermilk = Ingredient('btm1', 'buttermilk', 240, over='too sour', under='too dry')

","ingredients = [butter, shortening, sugar, eggs, nutmeg, vanilla, flour, salt, bakingpowder, soda, buttermilk]","t1 = Transformation('mix', 'Cream shortening and sugar.', [shortening, sugar], 'creamed_shortening_sugar')
t2 = Transformation('mix', 'Add eggs and beat well into creamed shortening and sugar.', [t1.execute(), eggs], 'creamed_shortening_sugar_with_eggs')
t3 = Transformation('mix', 'Sift and combine dry ingredients.', [flour, salt, bakingpowder, soda, nutmeg], 'sifted_dry_ingredients')
t4 = Transformation('mix', 'Add sifted dry ingredients alternately with buttermilk and vanilla to the creamed mixture and mix to form batter.', [t2.execute(), t3.execute(), buttermilk, vanilla], 'cake_batter')
t5 = Transformation('bake', 'Bake in 2 greased and floured square layer cake pans in a 350° oven for 25 minutes.', [t4.execute()], 'layer_cake_layers')"
Chocolate Cake,"[""1 c. butter"", ""1/2 c. cocoa"", ""1/4 tsp. salt"", ""2 c. sugar"", ""1 tsp. soda"", ""2 c. flour"", ""3 eggs"", ""1 c. buttermilk"", ""1 tsp. vanilla""]","[""Cream butter and sugar; add eggs, one at a time."", ""Sift flour, cocoa and salt three times."", ""Dissolve soda in buttermilk; add alternately with flour to sugar-butter-egg mixture."", ""Add vanilla. Bake in 3 or 4 layers in a 325\u00b0 oven for 25 minutes.""]","butter = Ingredient('BTR1', 'butter', 227, over='too greasy', under='too dry')
cocoa = Ingredient('COCO', 'cocoa powder', 50, over='too bitter', under='too weak')
salt = Ingredient('SLT1', 'salt', 1, over='too salty', under='too bland')
sugar = Ingredient('SGR1', 'granulated sugar', 400, over='too sweet', under='too bland')
soda = Ingredient('BSOD', 'baking soda', 5, over='too soapy', under='too dense')
flour = Ingredient('FLR1', 'all-purpose flour', 240, over='too heavy', under='too weak')
eggs = Ingredient('EGG1', 'eggs', 150, over='too eggy', under='too dry')
buttermilk = Ingredient('BTMK', 'buttermilk', 240, over='too sour', under='too dry')
vanilla = Ingredient('VNL1', 'vanilla extract', 5, over='too perfumed', under='too bland')

","ingredients = [butter, cocoa, salt, sugar, soda, flour, eggs, buttermilk, vanilla]","t1 = Transformation('mix', 'Cream butter and sugar.', [butter, sugar], 'creamed_butter_sugar')
t2 = Transformation('mix', 'Add eggs one at a time to creamed butter and sugar.', [t1.execute(), eggs], 'creamed_with_eggs')
t3 = Transformation('mix', 'Sift (combine) flour, cocoa and salt.', [flour, cocoa, salt], 'dry_ingredients')
t4 = Transformation('mix', 'Dissolve soda in buttermilk.', [soda, buttermilk], 'soda_in_buttermilk')
t5 = Transformation('mix', 'Add alternately the buttermilk-soda mixture and dry ingredients to the creamed mixture (combine).', [t2.execute(), t4.execute(), t3.execute()], 'combined_batter')
t6 = Transformation('mix', 'Add vanilla to the combined batter.', [t5.execute(), vanilla], 'batter_with_vanilla')
t7 = Transformation('bake', 'Bake in 3 or 4 layers in a 325° oven for 25 minutes.', [t6.execute()], 'baked_cake_layers')"
German Chocolate Cake,"[""1 (4 oz.) pkg. Baker's German's chocolate"", ""2 c. sugar"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 1/2 c. plain flour"", ""1/2 c. boiling water"", ""1 c. butter or margarine"", ""4 egg yolks"", ""1/2 tsp. salt"", ""4 egg whites, stiffly beaten""]","[""Melt"", ""chocolate"", ""in boiling water."", ""Cool."", ""Cream butter and sugar until fluffy."", ""Add egg yolks, one at a time, beating well after"", ""each"", ""one."", ""Blend"", ""in vanilla and chocolate."", ""Sift flour with"", ""soda and salt."", ""Add alternately with buttermilk to chocolate mixture,"", ""beating after each addition until smooth. Fold in beaten"", ""egg"", ""whites."", ""Pour\tinto"", ""four (9-inch) layer pans. Grease"", ""and"", ""flour\tpans"", ""very"", ""well."", ""Bake at 350\u00b0 for about"", ""30 minutes."", ""Cool and frost with Coconut-Pecan Frosting mix."", ""Frost between layers and sides also.""]","chocolate = Ingredient('choc', 'Baker\'s German\'s chocolate', 113, over='too bitter', under='too bland')
sugar = Ingredient('suga', 'sugar', 400, over='too sweet', under='too bland')
vanilla = Ingredient('vani', 'vanilla', 5, over='too strong', under='too bland')
soda = Ingredient('bsod', 'baking soda', 5, over='too soapy', under='too flat')
buttermilk = Ingredient('btmk', 'buttermilk', 240, over='too sour', under='too dry')
flour = Ingredient('flou', 'plain flour', 313, over='too heavy', under='too crumbly')
water = Ingredient('watr', 'boiling water', 120, over='too watery', under='too dry')
butter = Ingredient('butr', 'butter or margarine', 227, over='too greasy', under='too dry')
yolks = Ingredient('yolk', 'egg yolks', 72, over='too rich', under='too weak')
salt = Ingredient('salt', 'salt', 3, over='too salty', under='too bland')
whites = Ingredient('whit', 'egg whites', 132, over='too rubbery', under='too runny')

","ingredients = [chocolate, sugar, vanilla, soda, buttermilk, flour, water, butter, yolks, salt, whites]","t1 = Transformation('boil', 'Melt chocolate in boiling water.', ['chocolate', 'water'], 'melted_chocolate')
t2 = Transformation('chill', 'Cool.', [t1.execute()], 'cooled_chocolate')
t3 = Transformation('mix', 'Cream butter and sugar until fluffy.', ['butter', 'sugar'], 'creamed_butter_sugar')
t4 = Transformation('mix', 'Add egg yolks, one at a time, beating well after each one.', [t3.execute(), 'yolks'], 'butter_sugar_yolks')
t5 = Transformation('mix', 'Blend in vanilla and chocolate.', [t4.execute(), 'vanilla', t2.execute()], 'chocolate_butter_mixture')
t6 = Transformation('mix', 'Sift flour with soda and salt.', ['flour', 'soda', 'salt'], 'dry_ingredients')
t7 = Transformation('mix', 'Add alternately with buttermilk to chocolate mixture, beating after each addition until smooth.', [t5.execute(), t6.execute(), 'buttermilk'], 'cake_batter')
t8 = Transformation('mix', 'Beat egg whites until stiff.', ['whites'], 'beaten_whites')
t9 = Transformation('mix', 'Fold in beaten egg whites.', [t7.execute(), t8.execute()], 'final_batter')
t10 = Transformation('bake', 'Pour into four (9-inch) layer pans. Grease and flour pans very well. Bake at 350° for about 30 minutes.', [t9.execute()], 'baked_layers')
t11 = Transformation('chill', 'Cool.', [t10.execute()], 'cooled_layers')
t12 = Transformation('mix', 'Frost between layers and sides also (with Coconut-Pecan Frosting mix).', [t11.execute()], 'frosted_cake')"
Rhubarb Bread,"[""1 1/2 c. firmly packed brown sugar"", ""2/3 c. vegetable oil"", ""1 c. buttermilk"", ""1 egg"", ""1 tsp. vanilla"", ""2 1/2 c. flour"", ""1 tsp. salt"", ""1 tsp. baking soda"", ""1 1/2 c. finely chopped rhubarb"", ""1/2 c. chopped nuts"", ""2 Tbsp. sugar""]","[""Beat brown sugar, oil, buttermilk, egg and vanilla in mixing bowl."", ""Mix flour, salt and baking powder. Add to brown sugar mixture and stir until blended."", ""Stir in rhubarb and nuts.""]","brownsugar = Ingredient('BRSU', 'firmly packed brown sugar', 330, over='too sweet', under='too bland')
vegetableoil = Ingredient('OIL1', 'vegetable oil', 145, over='too oily', under='too dry')
buttermilk = Ingredient('BTML', 'buttermilk', 240, over='too tangy', under='too flat')
egg = Ingredient('EGG1', 'egg', 50, over='too rubbery', under='too dry')
vanilla = Ingredient('VNL1', 'vanilla', 5, over='too strong', under='too bland')
flour = Ingredient('FLR2', 'flour', 300, over='too dense', under='too wet')
salt = Ingredient('SLT1', 'salt', 6, over='too salty', under='too bland')
bakingsoda = Ingredient('BKSD', 'baking soda', 5, over='too bitter', under='too flat')
rhubarb = Ingredient('RHUB', 'finely chopped rhubarb', 183, over='too tart', under='too bland')
nuts = Ingredient('NUTS', 'chopped nuts', 60, over='too greasy', under='too plain')
sugar = Ingredient('SUGR', 'sugar', 25, over='too sweet', under='too bland')

","ingredients = [brownsugar, vegetableoil, buttermilk, egg, vanilla, flour, salt, bakingsoda, rhubarb, nuts, sugar]","t1 = Transformation('mix', 'Beat brown sugar, oil, buttermilk, egg and vanilla in mixing bowl.', [brownsugar, vegetableoil, buttermilk, egg, vanilla], 'brown_sugar_mixture')
t2 = Transformation('mix', 'Mix flour, salt and baking powder.', [flour, salt, bakingsoda], 'dry_mixture')
t3 = Transformation('stir', 'Add dry mixture to brown sugar mixture and stir until blended.', [t1.execute(), t2.execute()], 'combined_batter')
t4 = Transformation('stir', 'Stir in rhubarb and nuts.', [t3.execute(), rhubarb, nuts], 'final_batter')"
Miami Beach Birthday Cake,"[""6 oz. pkg. chocolate chips"", ""1 c. flaked coconut"", ""1/2 c. butter, melted"", ""1/2 c. walnut pieces"", ""2 c. sifted flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""1/2 c. butter"", ""1 1/2 c. sugar"", ""2 eggs"", ""1 tsp. vanilla"", ""1 1/4 c. buttermilk"", ""1 large carton Cool Whip"", ""8 oz. cream cheese""]","[""Preheat oven to 375\u00b0."", ""Melt 1/3 cup chocolate chips."", ""Grease 2 (9-inch) layer pans."", ""Combine coconut, butter and walnuts."", ""Let cool."", ""Stir in chocolate chips."", ""Set aside."", ""Mix flour, soda and salt."", ""Cream butter in large bowl."", ""Gradually add sugar and cream until fluffy."", ""Add eggs, one at a time."", ""Blend in melted chocolate and vanilla."", ""At low speed add dry ingredients alternately with buttermilk, beginning and ending with dry ingredients."", ""Pour into pans."", ""Sprinkle tops with coconut-nut mixture."", ""Bake until knife inserted comes out clean, about 30 to 40 minutes."", ""Mix Cool Whip and cream cheese."", ""Fill between layers, around sides."", ""Mound around outer edge of top layer."", ""Refrigerate.""]","chocochips = Ingredient('cchp', 'chocolate chips', 170, over='too chocolaty', under='too plain')
coconut = Ingredient('cnut', 'flaked coconut', 80, over='too coconutty', under='too lacking')
butter_melted = Ingredient('btml', 'butter, melted', 114, over='too greasy', under='too dry')
walnuts = Ingredient('walp', 'walnut pieces', 60, over='too nutty', under='too sparse')
flour = Ingredient('flou', 'sifted flour', 250, over='too dense', under='too thin')
baking_soda = Ingredient('bsod', 'baking soda', 5, over='too soapy', under='too flat')
salt = Ingredient('salt', 'salt', 6, over='too salty', under='too bland')
butter = Ingredient('butr', 'butter', 114, over='too greasy', under='too dry')
sugar = Ingredient('sugr', 'sugar', 300, over='too sweet', under='too bland')
eggs = Ingredient('eggs', 'eggs', 100, over='too eggy', under='too dry')
vanilla = Ingredient('vani', 'vanilla', 5, over='too perfumy', under='too bland')
buttermilk = Ingredient('btmk', 'buttermilk', 300, over='too tangy', under='too bland')
coolwhip = Ingredient('cwip', 'Cool Whip', 226, over='too airy', under='too flat')
creamcheese = Ingredient('crch', 'cream cheese', 227, over='too tangy', under='too weak')

","ingredients = [chocochips, coconut, butter_melted, walnuts, flour, baking_soda, salt, butter, sugar, eggs, vanilla, buttermilk, coolwhip, creamcheese]","t1 = Transformation('bake', 'Preheat oven to 375°.', [], 'oven_preheated')
t2 = Transformation('boil', 'Melt 1/3 cup chocolate chips.', [chocochips], 'melted_choc')
t3 = Transformation('mix', 'Grease 2 (9-inch) layer pans.', [butter_melted], 'pans_greased')
t4 = Transformation('mix', 'Combine coconut, butter and walnuts.', [coconut, butter, walnuts], 'coconut_butter_walnut_mix')
t5 = Transformation('chill', 'Let cool.', [t4.execute()], 'coconut_nut_mix_cooled')
t6 = Transformation('stir', 'Stir in chocolate chips.', [t5.execute(), t2.execute()], 'coconut_nut_with_choc')
t7 = Transformation('mix', 'Set aside.', [t6.execute()], 'coconut_nut_mixture_set_aside')
t8 = Transformation('mix', 'Mix flour, soda and salt.', [flour, baking_soda, salt], 'dry_ingredients')
t9 = Transformation('mix', 'Cream butter in large bowl.', [butter], 'creamed_butter')
t10 = Transformation('mix', 'Gradually add sugar and cream until fluffy.', [t9.execute(), sugar], 'creamed_butter_sugar')
t11 = Transformation('mix', 'Add eggs, one at a time.', [t10.execute(), eggs], 'butter_sugar_eggs')
t12 = Transformation('mix', 'Blend in melted chocolate and vanilla.', [t11.execute(), t2.execute(), vanilla], 'chocolate_batter')
t13 = Transformation('mix', 'At low speed add dry ingredients alternately with buttermilk, beginning and ending with dry ingredients.', [t12.execute(), t8.execute(), buttermilk], 'final_batter')
t14 = Transformation('mix', 'Pour into pans.', [t13.execute(), t3.execute()], 'pans_with_batter')
t15 = Transformation('mix', 'Sprinkle tops with coconut-nut mixture.', [t14.execute(), t7.execute()], 'topped_batter')
t16 = Transformation('bake', 'Bake until knife inserted comes out clean, about 30 to 40 minutes.', [t15.execute()], 'baked_cakes')
t17 = Transformation('mix', 'Mix Cool Whip and cream cheese.', [coolwhip, creamcheese], 'filling')
t18 = Transformation('mix', 'Fill between layers, around sides.', [t16.execute(), t17.execute()], 'filled_cake')
t19 = Transformation('mix', 'Mound around outer edge of top layer.', [t18.execute(), t17.execute()], 'decorated_cake')
t20 = Transformation('chill', 'Refrigerate.', [t19.execute()], 'finished_cake_chilled')"
Double Cake,"[""1 c. butter"", ""2 c. sugar"", ""3 c. flour"", ""1 c. buttermilk or sweet or sour"", ""4 eggs"", ""1/2 tsp. soda"", ""3/4 tsp. salt"", ""1 tsp. baking powder"", ""1 tsp. vanilla"", ""1 tsp. almond or orange extract""]","[""Combine butter, sugar, flour and buttermilk."", ""Beat two minutes. Add eggs, one at a time."", ""Beat two more minutes."", ""Add soda, salt, baking powder, vanilla and extract."", ""Pour into a greased and floured Bundt pan or two bread pans."", ""Bake at 350\u00b0 for 50 minutes.""]","butter = Ingredient('btr1', 'butter', 227, over='too greasy', under='too dry')
sugar = Ingredient('sug2', 'sugar', 400, over='too sweet', under='too bland')
flour = Ingredient('flr3', 'flour', 360, over='too dense', under='too weak')
buttermilk = Ingredient('btm4', 'buttermilk or sweet or sour', 240, over='too sour', under='too dry')
eggs = Ingredient('egg5', 'eggs', 200, over='too eggy', under='too flat')
soda = Ingredient('sod6', 'soda', 3, over='too alkaline', under='too flat')
salt = Ingredient('slt7', 'salt', 5, over='too salty', under='too bland')
bakingpowder = Ingredient('bpw8', 'baking powder', 4, over='too bitter', under='too flat')
vanilla = Ingredient('van9', 'vanilla', 5, over='too strong', under='too weak')
extract = Ingredient('ext0', 'almond or orange extract', 5, over='too strong', under='too weak')

","ingredients = [butter, sugar, flour, buttermilk, eggs, soda, salt, bakingpowder, vanilla, extract]","t1 = Transformation('mix', 'Combine butter, sugar, flour and buttermilk.', [butter, sugar, flour, buttermilk], 'batter1')
t2 = Transformation('mix', 'Beat two minutes and add eggs one at a time.', [t1.execute(), eggs], 'batter2')
t3 = Transformation('mix', 'Beat two more minutes.', [t2.execute()], 'batter3')
t4 = Transformation('mix', 'Add soda, salt, baking powder, vanilla and extract.', [t3.execute(), soda, salt, bakingpowder, vanilla, extract], 'batter4')
t5 = Transformation('mix', 'Pour into a greased and floured Bundt pan or two bread pans.', [t4.execute()], 'pan_ready_batter')
t6 = Transformation('bake', 'Bake at 350\u00b0 for 50 minutes.', [t5.execute()], 'baked_cake')"
Corn Pone,"[""4 c. meal"", ""2/3 c. sugar"", ""1 Tbsp. salt"", ""4 c. boiling water"", ""1 c. flour"", ""1 tsp. soda"", ""1 Tbsp. melted butter"", ""1 c. buttermilk"", ""1 egg, beaten""]","[""Put meal, sugar and salt in bowl."", ""Add boiling water."", ""Stir until smooth."", ""Let set overnight."", ""Add flour, egg, baking powder, soda and buttermilk."", ""Bake in greased iron skillet 15 minutes at 450\u00b0."", ""Reduce heat to 350\u00b0 and bake 45 minutes longer.""]","meal = Ingredient('m001', 'meal', 480, over='too coarse', under='too scant')
sugar = Ingredient('sug2', 'sugar', 133, over='too sweet', under='too bland')
salt = Ingredient('slt3', 'salt', 18, over='too salty', under='too bland')
water = Ingredient('wtr4', 'boiling water', 960, over='too dilute', under='too dry')
flour = Ingredient('flr5', 'flour', 120, over='too dense', under='too thin')
soda = Ingredient('sod6', 'soda', 5, over='too bitter', under='too flat')
butter = Ingredient('but7', 'melted butter', 14, over='too greasy', under='too dry')
buttermilk = Ingredient('btm8', 'buttermilk', 240, over='too sour', under='too bland')
egg = Ingredient('egg9', 'egg, beaten', 50, over='too rubbery', under='too crumbly')

","ingredients = [meal, sugar, salt, water, flour, soda, butter, buttermilk, egg]","t1 = Transformation('mix', 'Put meal, sugar and salt in bowl.', [meal, sugar, salt], 'dry_mix')
t2 = Transformation('boil', 'Boil water.', [water], 'boiled_water')
t3 = Transformation('mix', 'Add boiling water to dry ingredients.', [t1.execute(), t2.execute()], 'wet_batter')
t4 = Transformation('stir', 'Stir until smooth.', [t3.execute()], 'smooth_batter')
t5 = Transformation('chill', 'Let set overnight.', [t4.execute()], 'set_batter')
t6 = Transformation('mix', 'Add flour, egg, baking powder, soda and buttermilk.', [t5.execute(), flour, egg, soda, buttermilk], 'combined_batter')
t7 = Transformation('bake', 'Bake in greased iron skillet 15 minutes at 450°.', [t6.execute()], 'partially_baked')
t8 = Transformation('bake', 'Reduce heat to 350° and bake 45 minutes longer.', [t7.execute()], 'final_baked')"
Cranberry-Pear Coffee Cake,"[""2 cups all-purpose flour"", ""3/4 cup plus 1 tablespoon sugar, divided"", ""1-1/2 teaspoons ground cinnamon"", ""1 teaspoon baking powder"", ""1/2 teaspoon salt"", ""1/4 teaspoon baking soda"", ""1 large egg"", ""3/4 cup buttermilk"", ""1/4 cup butter, melted"", ""1 teaspoon vanilla extract"", ""1 large pear, peeled and coarsely chopped"", ""1 cup fresh or frozen cranberries, thawed and chopped"", ""1 teaspoon grated orange zest"", ""1 tablespoon brown sugar""]","[""In a large bowl, combine the flour, 3/4 cup sugar, cinnamon, baking powder, salt and baking soda. In a small bowl, whisk the egg, buttermilk, butter and vanilla. Stir into dry ingredients just until moistened. Fold in the pear, cranberries and orange zest."", ""Transfer to a 9-in. springform pan coated with cooking spray and dusted with flour. Combine brown sugar and remaining sugar; sprinkle over batter. Bake at 350\u00b0 for 40-45 minutes or until a toothpick inserted in the center comes out clean. Cool for 10 minutes before removing from pan to a wire rack. Serve warm.""]","allpurposeflour = Ingredient('apfl', 'all-purpose flour', 240, over='too dense', under='too crumbly')
sugar = Ingredient('sug1', 'sugar, divided', 163, over='too sweet', under='too bland')
cinnamon = Ingredient('cin1', 'ground cinnamon', 4, over='too strong', under='too faint')
bakingpowder = Ingredient('bpow', 'baking powder', 4, over='too metallic', under='too flat')
salt = Ingredient('salt', 'salt', 3, over='too salty', under='too bland')
bakingsoda = Ingredient('bsod', 'baking soda', 1, over='too soapy', under='too dense')
egg = Ingredient('eg01', 'large egg', 50, over='too eggy', under='too dry')
buttermilk = Ingredient('btmk', 'buttermilk', 180, over='too tangy', under='too dry')
butter = Ingredient('butr', 'butter, melted', 57, over='too greasy', under='too dry')
vanilla = Ingredient('vani', 'vanilla extract', 5, over='too perfumed', under='too bland')
pear = Ingredient('pear', 'large pear, peeled and coarsely chopped', 180, over='too mushy', under='too sparse')
cranberries = Ingredient('cran', 'fresh or frozen cranberries, thawed and chopped', 100, over='too tart', under='too mild')
orangezest = Ingredient('ozst', 'grated orange zest', 2, over='too bitter', under='too faint')
brownsugar = Ingredient('brwn', 'brown sugar', 14, over='too sweet', under='too bland')
","ingredients = [allpurposeflour, sugar, cinnamon, bakingpowder, salt, bakingsoda, egg, buttermilk, butter, vanilla, pear, cranberries, orangezest, brownsugar]","t1 = Transformation('mix', 'In a large bowl, combine the flour, 3/4 cup sugar, cinnamon, baking powder, salt and baking soda.', [allpurposeflour, sugar, cinnamon, bakingpowder, salt, bakingsoda], 'drymix')
t2 = Transformation('mix', 'In a small bowl, whisk the egg, buttermilk, butter and vanilla.', [egg, buttermilk, butter, vanilla], 'wetmix')
t3 = Transformation('stir', 'Stir wet mixture into dry ingredients just until moistened.', [t1.execute(), t2.execute()], 'batter')
t4 = Transformation('mix', 'Fold in the pear, cranberries and orange zest.', [t3.execute(), pear, cranberries, orangezest], 'fruitbatter')
t5 = Transformation('mix', 'Combine brown sugar and remaining sugar.', [brownsugar, sugar], 'topping')
t6 = Transformation('mix', 'Sprinkle topping over batter (transfer to a prepared 9-in. springform pan first).', [t4.execute(), t5.execute()], 'toppedbatter')
t7 = Transformation('bake', 'Bake at 350°F for 40-45 minutes or until a toothpick inserted in the center comes out clean.', [t6.execute()], 'bakedcake')
t8 = Transformation('chill', 'Cool for 10 minutes before removing from pan to a wire rack.', [t7.execute()], 'cooledcake')"
Double Chocolate Cupcakes,"[""2 tablespoons butter, softened"", ""34 cup sugar"", ""1 egg"", ""1 egg white"", ""12 cup buttermilk"", ""2 tablespoons buttermilk"", ""13 cup water"", ""1 tablespoon white vinegar"", ""1 teaspoon vanilla extract"", ""1 12 cups all-purpose flour"", ""14 cup baking cocoa"", ""1 teaspoon baking soda"", ""12 teaspoon salt"", ""13 cup miniature semisweet chocolate chips""]","[""In a large bowl, cream butter and sugar until light and fluffy."", ""Add egg and egg white, one at a time, beating well after each addition."", ""Beat on high speed until light and fluffy."", ""Stir in the buttermilk, water, vinegar and vanilla."", ""Combine the flour, cocoa, baking soda and salt; add to batter just until moistened."", ""Stir in chocolate chips."", ""Fill muffin cups coated with cooking spray three-fourths full."", ""Bake at 375 for 15-18 minutes or until a toothpick comes out clean."", ""Cool for 5 minutes before removing from pans to wire racks."", ""Yield: 14 cupcakes.""]","butter = Ingredient('bt01', 'butter, softened', 28, over='too greasy', under='too dry')
sugar = Ingredient('sg01', 'sugar', 150, over='too sweet', under='too bland')
egg = Ingredient('eg01', 'egg', 50, over='too rubbery', under='too weak')
eggwhite = Ingredient('ew01', 'egg white', 30, over='too tough', under='too weak')
buttermilk = Ingredient('bm01', 'buttermilk', 120, over='too sour', under='too bland')
buttermilk2 = Ingredient('bm02', 'buttermilk', 30, over='too sour', under='too scant')
water = Ingredient('wt01', 'water', 80, over='too watery', under='too dry')
vinegar = Ingredient('vg01', 'white vinegar', 15, over='too acidic', under='too weak')
vanilla = Ingredient('vn01', 'vanilla extract', 5, over='too strong', under='too faint')
flour = Ingredient('fl01', 'all-purpose flour', 180, over='too dense', under='too thin')
cocoa = Ingredient('cc01', 'baking cocoa', 21, over='too bitter', under='too weak')
bakingsoda = Ingredient('bs01', 'baking soda', 5, over='too alkaline', under='too flat')
salt = Ingredient('st01', 'salt', 3, over='too salty', under='too bland')
chocochips = Ingredient('ch01', 'miniature semisweet chocolate chips', 57, over='too rich', under='too lacking')

","ingredients = [butter, sugar, egg, eggwhite, buttermilk, buttermilk2, water, vinegar, vanilla, flour, cocoa, bakingsoda, salt, chocochips]","t1 = Transformation('mix', 'Cream butter and sugar until light and fluffy.', [butter, sugar], 'creamed_butter_sugar')
t2 = Transformation('mix', 'Add egg and eggwhite one at a time, beating well after each addition.', [t1.execute(), egg, eggwhite], 'butter_sugar_eggs')
t3 = Transformation('mix', 'Beat on high speed until light and fluffy.', [t2.execute()], 'light_and_fluffy_batter')
t4 = Transformation('stir', 'Stir in the buttermilk, water, vinegar and vanilla.', [t3.execute(), buttermilk, water, vinegar, vanilla], 'batter_with_liquids')
t5 = Transformation('mix', 'Combine the flour, cocoa, baking soda and salt.', [flour, cocoa, bakingsoda, salt], 'dry_ingredients')
t6 = Transformation('mix', 'Add dry ingredients to batter just until moistened.', [t4.execute(), t5.execute()], 'combined_batter')
t7 = Transformation('stir', 'Stir in chocolate chips.', [t6.execute(), chocochips], 'batter_with_chips')
t8 = Transformation('mix', 'Fill muffin cups coated with cooking spray three-fourths full.', [t7.execute()], 'filled_muffin_cups')
t9 = Transformation('bake', 'Bake at 375°F for 15-18 minutes or until a toothpick comes out clean.', [t8.execute()], 'baked_cupcakes')
t10 = Transformation('chill', 'Cool for 5 minutes before removing from pans to wire racks.', [t9.execute()], 'cooled_cupcakes')
t11 = Transformation('mix', 'Yield: 14 cupcakes (final product).', [t10.execute()], 'yield_14_cupcakes')"
Red Velvet Cake,"[""2 sticks butter"", ""1 1/2 c. sugar"", ""2 eggs"", ""2 oz. red food coloring"", ""1 tsp. salt"", ""1 c. buttermilk"", ""1 tsp. vanilla"", ""2 1/2 c. plain flour"", ""1 tsp. soda"", ""1 tsp. vinegar"", ""2 Tbsp. cocoa"", ""1 tsp. baking powder""]","[""Cream sugar and butter together and add eggs."", ""Make a paste of cocoa and food coloring and add to the first mixture."", ""Beat in part of the flour, milk and salt."", ""Add the remaining flour and remaining ingredients, putting the soda and vinegar in last."", ""Bake in layers at 350\u00b0 until tested done.""]","butter = Ingredient('btr1', 'butter', 227, over='too greasy', under='too dry')
sugar = Ingredient('sgr1', 'sugar', 300, over='too sweet', under='too bland')
eggs = Ingredient('egg1', 'eggs', 100, over='too eggy', under='too weak')
redfoodcoloring = Ingredient('rfc1', 'red food coloring', 57, over='too vivid', under='too pale')
salt = Ingredient('slt1', 'salt', 6, over='too salty', under='too bland')
buttermilk = Ingredient('btml', 'buttermilk', 240, over='too tangy', under='too flat')
vanilla = Ingredient('vnl1', 'vanilla', 5, over='too perfumed', under='too dull')
plainflour = Ingredient('flr1', 'plain flour', 300, over='too dense', under='too crumbly')
soda = Ingredient('sda1', 'soda', 5, over='too soapy', under='too flat')
vinegar = Ingredient('vgr1', 'vinegar', 5, over='too sour', under='too bland')
cocoa = Ingredient('coc1', 'cocoa', 10, over='too bitter', under='too weak')
bakingpowder = Ingredient('bkp1', 'baking powder', 4, over='too bitter', under='too flat')

","ingredients = [butter, sugar, eggs, redfoodcoloring, salt, buttermilk, vanilla, plainflour, soda, vinegar, cocoa, bakingpowder]","t1 = Transformation('mix', 'Cream sugar and butter together and add eggs.', [butter, sugar, eggs], 'creamed_mixture')
t2 = Transformation('mix', 'Make a paste of cocoa and food coloring.', [cocoa, redfoodcoloring], 'cocoa_paste')
t3 = Transformation('mix', 'Add cocoa paste to the creamed mixture and combine.', [t1.execute(), t2.execute()], 'chocolate_batter')
t4 = Transformation('mix', 'Beat in part of the flour, buttermilk and salt.', [t3.execute(), plainflour, buttermilk, salt], 'batter_with_milk')
t5 = Transformation('mix', 'Add the remaining flour, vanilla and bakingpowder.', [t4.execute(), plainflour, vanilla, bakingpowder], 'batter_before_soda')
t6 = Transformation('mix', 'Add soda and vinegar last.', [t5.execute(), soda, vinegar], 'unbaked_batter')
t7 = Transformation('bake', 'Bake in layers at 350° until tested done.', [t6.execute()], 'baked_cake')"
